goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_dense/1024KiB,22.070,93.720,0.235489,13826112.000,1284285.000,108.000,109.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_dense/16KiB,17.360,90.980,0.190811,131056.000,11441.000,53.000,72.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_dense/256KiB,21.050,88.390,0.238149,2906137.000,272555.000,81.000,93.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_sparse/1024KiB,1081.630,942.410,1.147728,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_sparse/16KiB,296.420,917.940,0.322919,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_dense/match_sparse/256KiB,953.820,968.930,0.984405,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_dense/1024KiB,25.540,92.470,0.276198,13907920.000,1284291.000,107.000,109.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_dense/16KiB,24.840,91.430,0.271683,131056.000,13492.000,53.000,73.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_dense/256KiB,25.740,94.620,0.272036,3009920.000,272558.000,83.000,93.000,1,1386960963
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_sparse/1024KiB,1234.400,413.870,2.982579,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_sparse/16KiB,489.500,407.740,1.200520,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_card_regexes/punct_sparse/match_sparse/256KiB,1440.040,407.640,3.532627,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M1 (Virtual),combined_skimmer_literals/punct_dense/match_dense/1024KiB,118.900,290.040,0.409943,39180752.000,120705.000,251.000,37.000,1,2582574894
