goos,goarch,cpu,cell,goyara_mb_s,yarax_mb_s,ratio,goyara_b_op,yarax_b_op,goyara_allocs_op,yarax_allocs_op,matched_rules,match_fingerprint
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_dense/1024KiB,26.230,112.250,0.233675,13828837.000,1284229.000,107.000,109.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_dense/16KiB,24.770,109.370,0.226479,131105.000,11434.000,53.000,72.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_dense/256KiB,26.170,113.230,0.231122,2907428.000,272561.000,81.000,93.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_sparse/1024KiB,1513.210,1218.190,1.242179,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_sparse/16KiB,273.070,1150.220,0.237407,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_dense/match_sparse/256KiB,1232.450,1170.390,1.053025,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_dense/1024KiB,32.450,109.610,0.296050,13911540.000,1284254.000,108.000,109.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_dense/16KiB,30.840,107.310,0.287392,131155.000,13483.000,53.000,73.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_dense/256KiB,32.000,109.520,0.292184,3011185.000,272558.000,83.000,93.000,1,1386960963
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_sparse/1024KiB,2268.310,1039.770,2.181550,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_sparse/16KiB,513.350,986.940,0.520143,384.000,24.000,6.000,1.000,0,0
darwin,arm64,Apple M3 Max,combined_card_regexes/punct_sparse/match_sparse/256KiB,1934.130,1025.650,1.885760,384.000,24.000,6.000,1.000,0,0
